date	Ageing	Aids	Animal Welfare	Bird Flu	BSE	Coal Pits	EU	Countryside	Crime	Defence	Drug Abuse	Economy	Education	Farming	German Reunification	GM foods	Housing	Inflation/Prices	Inner Cities	Local Govt	Low Pay	Morality	NHS	Northern Ireland	Nuclear Power	Nuclear Weapons	Pensions	Fuel Prices	Environment	The Pound	Poverty/Inequality	Privatisation	Public Services	Immigration	Scots/Welsh Assembly	Taxation	Trade Unions	Transport	Tsunami	Unemployment
20110101							4		11	6			8				3	18					9	4		20	6							3			40			73
20110201							5		12	7			6				3	18					8	7		22	7							2			41			75
20110301							5		10	7			7				3	21					10	2		22	5							3			39			70
20110401							8		12	9			7				4	19					11	6		25	5							5			35			71
20110501							15		10	8			9				4	17					10	2		29	7							4			29			73
20110601							8		12	11			8				5	16					12	3		30	5							6			15			76
20110701							11		11	11			9				5	21					14	3		29	7							4			10			81
20110801							8		9	13			10				4	18					15	3		39	7							3			4			80
20110901							9		9	13			8				5	19					14	6		41	7							3			6			79
20111001							5		10	14			8				5	22					26	3		30	7							4			4			78
20111101							4		16	14			8				3	19					17	4		30	5							4			3			80
20111201							4		15	11			9				5	23					14	3		22	6							4			4			82
20120101							6		15	13			10				4	21					11	2		26	6							4			4			79
20120201							8		9	15			9				4	21					11	1		30	8							3			5			86
20120301							6		9	10			11				6	25					10	3		29	6							4			8			83
20120401							6		8	8			8				5	24					6	3		24	8							3			7			83
20120501							6		10	14			8				5	29					11	4			5							5			6			87
20120601							4		10	13								34						3													9			85
20120701							4		13	11								32						3													11			87
20120801							23		32				24				15	69					23	12										14			53			51
20120901							15		19				18				12	65					12	11			7							9			55			41
20121001							14		41				17				16	68					17	18										16			56			53
20121101							9		14				9				9	66					15	5										10			73			31
20121201							9		23				15				12	63					11	7								7		27			25			55
20130101													12				9	64					10	7			7							16			30			50
20130201							10		9				5				27	81					2	6			8							5			18			8
20130301							19		8				12				23	82					3	6			10							7			22			9
